"","geneNames","feature","id","fc","pval","qval","mean"
"296","SPO2383.t01","gene","MSTRG.1870",0.564035577093153,0.00484119534997807,0.0515583179976896,75.6479405958069
"297","SPO2385.t01","gene","MSTRG.1871",0.66197122492986,0.023790128459158,0.107738081751515,84.4190273245492
"298","SPO2388.t01","gene","MSTRG.1873",0.529392606404131,0.00829133861477738,0.0653285909696914,92.8910086428571
"299","SPO2403.t01","gene","MSTRG.1877",1.01931892525901,8.98462217050477e-05,0.0248200187460194,0.0104512142857143
"300","SPO2408.t01","gene","MSTRG.1879",0.489911815049205,0.000204500411256192,0.0250192770931932,86.7039875
"301","SPO2411.t01","gene","MSTRG.1881",0.717889755295761,0.0311778817730616,0.121308307602933,93.4571609285714
"302","SPO2413.t01","gene","MSTRG.1883",0.62951964704928,0.00538754825504584,0.0535480906423899,92.3920752142857
"303","SPO2414.t01","gene","MSTRG.1884",0.617887349566533,0.00147413785313533,0.0359321101701736,87.5816134756299
"304","SPO2416.t01","gene","MSTRG.1885",0.645843552655475,0.00588230509207732,0.0557138325149609,91.0024243571429
"305","SPO2417.t01","gene","MSTRG.1886",0.72521499570241,0.0420985421325337,0.138959192403174,98.6386124285714
"306","SPO2418.t01","gene","MSTRG.1887",0.165159502135521,0.00291785051943072,0.045255836198828,79.4282112142857
"307","SPO2419.t01","gene","MSTRG.1888",0.268064619065678,0.00254869569212002,0.0440614065163796,84.6962868571429
"308","SPO2420.t01","gene","MSTRG.1889",0.392691376452777,0.00165938560294621,0.0382004394011575,90.8459251270137
"309","SPO2422.t01","gene","MSTRG.1890",0.636762872526027,0.0194124946085692,0.0975036661021316,93.5626038571429
"310","SPO2423.t01","gene","MSTRG.1891",1.34425572554945,0.0074936010637221,0.0630489531122811,102.936198142857
